Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
177,IND,2009-12-17,4,Thu,14,15,@,JAX,W 35-31,23,30,7,76.7,308,4,1,13.3,3.3,134.4,0,0,0.00,10.3,10.27,11.43,11.43,13.4
178,CLE,2009-11-22,4,Sun,10,11,@,DET,L 37-38,22,34,12,64.7,308,4,0,11.8,0.0,133.7,1,6,2.86,9.1,8.80,11.41,11.09,14.0
179,MIN,2009-11-01,4,Sun,8,8,@,GNB,W 38-26,17,28,11,60.7,244,4,0,14.3,0.0,128.6,0,0,0.00,8.7,8.71,11.57,11.57,14.4
180,HOU,2009-10-18,4,Sun,6,6,@,CIN,W 28-17,28,40,12,70.0,385,4,1,10.0,2.5,124.2,2,7,4.76,9.6,9.17,10.50,10.00,13.8
181,IND,2009-09-27,4,Sun,3,3,@,ARI,W 31-10,24,35,11,68.6,379,4,1,11.4,2.9,130.5,0,0,0.00,10.8,10.83,11.83,11.83,15.8
182,HOU,2009-09-20,4,Sun,2,2,@,TEN,W 34-31,25,39,14,64.1,357,4,0,10.3,0.0,127.8,0,0,0.00,9.2,9.15,11.21,11.21,14.3
183,NOR,2022-01-09,3,Sun,17,18,@,ATL,W 30-20,16,24,8,66.7,174,3,0,12.5,0.0,128.1,1,4,4.00,7.3,6.96,9.75,9.36,10.9
184,GNB,2022-01-09,3,Sun,17,18,@,DET,L 30-37,24,35,11,68.6,256,3,2,8.6,5.7,96.4,4,16,10.26,7.3,6.56,6.46,5.79,10.7
185,LAC,2022-01-09,3,Sun,17,18,@,LVR,L 32-35 (OT),34,64,30,53.1,355,3,1,4.7,1.6,80.4,3,28,4.48,5.5,5.30,5.78,5.52,10.4
186,SEA,2022-01-09,3,Sun,17,18,@,ARI,W 38-30,15,26,11,57.7,229,3,1,11.5,3.8,110.7,1,9,3.70,8.8,8.48,9.38,9.04,15.3
187,TAM,2022-01-02,3,Sun,16,17,@,NYJ,W 28-24,34,50,16,68.0,405,3,1,6.0,2.0,104.6,1,5,1.96,8.1,7.94,8.40,8.24,11.9
188,BUF,2021-12-26,3,Sun,15,16,@,NWE,W 33-21,30,47,17,63.8,314,3,0,6.4,0.0,104.4,0,0,0.00,6.7,6.68,7.96,7.96,10.5
189,GNB,2021-12-19,3,Sun,14,15,@,BAL,W 31-30,23,31,8,74.2,250,3,0,9.7,0.0,132.2,3,18,8.82,8.1,7.35,10.00,9.12,10.9
190,KAN,2021-12-16,3,Thu,14,15,@,LAC,W 34-28 (OT),31,47,16,66.0,410,3,1,6.4,2.1,105.8,1,0,2.08,8.7,8.54,9.04,8.85,13.2
191,LAR,2021-12-13,3,Mon,13,14,@,ARI,W 30-23,23,30,7,76.7,267,3,0,10.0,0.0,139.2,3,20,9.09,8.9,8.09,10.90,9.91,11.6
192,PIT,2021-12-09,3,Thu,13,14,@,MIN,L 28-36,28,40,12,70.0,269,3,1,7.5,2.5,107.1,5,39,11.11,6.7,5.98,7.10,6.31,9.6
193,LAC,2021-12-05,3,Sun,12,13,@,CIN,W 41-22,26,35,9,74.3,284,3,1,8.6,2.9,118.4,4,33,10.26,8.1,7.28,8.54,7.67,10.9
194,LAR,2021-11-28,3,Sun,11,12,@,GNB,L 28-36,21,39,18,53.8,285,3,1,7.7,2.6,94.2,2,17,4.88,7.3,6.95,7.69,7.32,13.6
195,PIT,2021-11-21,3,Sun,10,11,@,LAC,L 37-41,28,44,16,63.6,245,3,0,6.8,0.0,103.7,3,28,6.38,5.6,5.21,6.93,6.49,8.8
196,NOR,2021-11-21,3,Sun,10,11,@,PHI,L 29-40,22,40,18,55.0,214,3,2,7.5,5.0,74.4,0,0,0.00,5.4,5.35,4.60,4.60,9.7
197,WAS,2021-11-21,3,Sun,10,11,@,CAR,W 27-21,16,22,6,72.7,179,3,0,13.6,0.0,141.3,3,27,12.00,8.1,7.16,10.86,9.56,11.2
198,TEN,2021-10-31,3,Sun,8,8,@,IND,W 34-31 (OT),23,34,11,67.6,247,3,2,8.8,5.9,95.8,3,18,8.11,7.3,6.68,6.38,5.86,10.7
199,LAR,2021-10-31,3,Sun,8,8,@,HOU,W 38-22,22,34,12,64.7,302,3,0,8.8,0.0,123.4,1,8,2.86,8.9,8.63,10.65,10.34,13.7
200,CIN,2021-10-31,3,Sun,8,8,@,NYJ,L 31-34,22,35,13,62.9,277,3,1,8.6,2.9,107.4,3,28,7.89,7.9,7.29,8.34,7.68,12.6
201,CIN,2021-10-24,3,Sun,7,7,@,BAL,W 41-17,23,38,15,60.5,409,3,1,7.9,2.6,113.5,1,7,2.56,10.8,10.49,11.16,10.87,17.8
202,BUF,2021-10-18,3,Mon,6,6,@,TEN,L 31-34,35,47,12,74.5,335,3,1,6.4,2.1,107.8,3,18,6.00,7.1,6.70,7.45,7.00,9.6
203,DAL,2021-10-17,3,Sun,6,6,@,NWE,W 35-29 (OT),36,51,15,70.6,445,3,1,5.9,2.0,108.7,0,0,0.00,8.7,8.73,9.02,9.02,12.4
204,MIN,2021-10-17,3,Sun,6,6,@,CAR,W 34-28 (OT),33,48,15,68.8,373,3,0,6.3,0.0,112.6,0,0,0.00,7.8,7.77,9.02,9.02,11.3
205,BUF,2021-10-10,3,Sun,5,5,@,KAN,W 38-20,15,26,11,57.7,315,3,0,11.5,0.0,139.1,0,0,0.00,12.1,12.12,14.42,14.42,21.0
206,WAS,2021-10-03,3,Sun,4,4,@,ATL,W 34-30,23,33,10,69.7,290,3,0,9.1,0.0,127.1,1,0,2.94,8.8,8.53,10.61,10.29,12.6
207,CIN,2021-09-26,3,Sun,3,3,@,PIT,W 24-10,14,18,4,77.8,172,3,1,16.7,5.6,122.9,0,0,0.00,9.6,9.56,10.39,10.39,12.3
208,KAN,2021-09-19,3,Sun,2,2,@,BAL,L 35-36,24,31,7,77.4,343,3,1,9.7,3.2,131.5,0,0,0.00,11.1,11.06,11.55,11.55,14.3
209,MIN,2021-09-19,3,Sun,2,2,@,ARI,L 33-34,22,32,10,68.8,242,3,0,9.4,0.0,122.4,1,2,3.03,7.6,7.33,9.44,9.15,11.0
210,JAX,2021-09-12,3,Sun,1,1,@,HOU,L 21-37,28,51,23,54.9,319,3,3,5.9,5.9,70.1,1,13,1.92,6.3,6.13,4.78,4.69,11.4
211,PHI,2021-09-12,3,Sun,1,1,@,ATL,W 32-6,27,35,8,77.1,261,3,0,8.6,0.0,126.4,1,3,2.78,7.5,7.25,9.17,8.92,9.7
212,DAL,2021-09-09,3,Thu,1,1,@,TAM,L 29-31,42,58,16,72.4,391,3,1,5.2,1.7,101.4,1,12,1.69,6.7,6.63,7.00,6.88,9.3
213,TAM,2021-01-24,3,Sun,3,20,@,GNB,W 31-26,20,36,16,55.6,275,3,3,8.3,8.3,73.8,1,5,2.70,7.6,7.43,5.56,5.41,13.8
214,CLE,2021-01-10,3,Sun,1,18,@,PIT,W 48-37,21,34,13,61.8,263,3,0,8.8,0.0,115.2,0,0,0.00,7.7,7.74,9.50,9.50,12.5
215,MIN,2021-01-03,3,Sun,16,17,@,DET,W 37-35,28,40,12,70.0,383,3,0,7.5,0.0,127.6,3,22,6.98,9.6,8.91,11.08,10.30,13.7
216,NOR,2021-01-03,3,Sun,16,17,@,CAR,W 33-7,22,32,10,68.8,191,3,0,9.4,0.0,116.8,2,10,5.88,6.0,5.62,7.84,7.38,8.7
217,BAL,2021-01-03,3,Sun,16,17,@,CIN,W 38-3,11,19,8,57.9,121,3,1,15.8,5.3,94.5,0,0,0.00,6.4,6.37,7.16,7.16,11.0
218,LAC,2021-01-03,3,Sun,16,17,@,KAN,W 38-21,22,31,9,71.0,281,3,0,9.7,0.0,134.1,3,21,8.82,9.1,8.26,11.00,10.03,12.8
219,SFO,2020-12-26,3,Sat,15,16,@,ARI,W 20-12,13,22,9,59.1,171,3,0,13.6,0.0,125.4,3,11,12.00,7.8,6.84,10.50,9.24,13.2
220,MIN,2020-12-25,3,Fri,15,16,@,NOR,L 33-52,27,41,14,65.9,274,3,0,7.3,0.0,110.9,2,17,4.65,6.7,6.37,8.15,7.77,10.1
221,KAN,2020-12-20,3,Sun,14,15,@,NOR,W 32-29,26,47,21,55.3,232,3,0,6.4,0.0,92.0,4,22,7.84,4.9,4.55,6.21,5.73,8.9
222,PHI,2020-12-20,3,Sun,14,15,@,ARI,L 26-33,24,44,20,54.5,305,3,0,6.8,0.0,102.3,6,33,12.00,6.9,6.10,8.30,7.30,12.7
223,SFO,2020-12-20,3,Sun,14,15,@,DAL,L 33-41,26,43,17,60.5,308,3,2,7.0,4.7,87.3,2,11,4.44,7.2,6.84,6.47,6.18,11.8
224,GNB,2020-12-13,3,Sun,13,14,@,DET,W 31-24,26,33,7,78.8,290,3,0,9.1,0.0,133.6,0,0,0.00,8.8,8.79,10.61,10.61,11.2
225,DET,2020-12-06,3,Sun,12,13,@,CHI,W 34-30,27,42,15,64.3,400,3,1,7.1,2.4,109.4,2,2,4.55,9.5,9.09,9.88,9.43,14.8
226,LVR,2020-12-06,3,Sun,12,13,@,NYJ,W 31-28,28,47,19,59.6,368,3,1,6.4,2.1,97.9,2,13,4.08,7.8,7.51,8.15,7.82,13.1
227,CHI,2020-11-29,3,Sun,11,12,@,GNB,L 25-41,26,46,20,56.5,229,3,2,6.5,4.3,74.7,3,13,6.12,5.0,4.67,4.33,4.06,8.8
228,KAN,2020-11-29,3,Sun,11,12,@,TAM,W 27-24,37,50,13,74.0,456,3,0,6.0,0.0,122.2,2,6,3.85,9.1,8.77,10.32,9.92,12.3
229,LAR,2020-11-23,3,Mon,10,11,@,TAM,W 27-24,39,51,12,76.5,376,3,2,5.9,3.9,99.8,0,0,0.00,7.4,7.37,6.78,6.78,9.6
