Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
1786,JAX,2019-10-20,1,Sun,7,7,@,CIN,W 27-17,15,32,17,46.9,244,1,0,3.1,0.0,84.8,2,11,5.88,7.6,7.18,8.25,7.76,16.3
1787,MIA,2019-10-20,1,Sun,6,7,@,BUF,L 21-31,23,35,12,65.7,272,1,1,2.9,2.9,88.0,1,10,2.78,7.8,7.56,7.06,6.86,11.8
1788,PHI,2019-10-20,1,Sun,7,7,@,DAL,L 10-37,16,26,10,61.5,168,1,1,3.8,3.8,80.8,3,23,10.34,6.5,5.79,5.50,4.93,10.5
1789,PIT,2019-10-13,1,Sun,6,6,@,LAC,W 24-17,15,20,5,75.0,132,1,1,5.0,5.0,87.9,0,0,0.00,6.6,6.60,5.35,5.35,8.8
1790,HOU,2019-10-13,1,Sun,6,6,@,KAN,W 31-24,30,42,12,71.4,280,1,2,2.4,4.8,77.5,0,0,0.00,6.7,6.67,5.00,5.00,9.3
1791,NOR,2019-10-13,1,Sun,6,6,@,JAX,W 13-6,24,36,12,66.7,222,1,0,2.8,0.0,94.7,3,18,7.69,6.2,5.69,6.72,6.21,9.3
1792,NYG,2019-10-10,1,Thu,6,6,@,NWE,L 14-35,15,31,16,48.4,161,1,3,3.2,9.7,35.2,1,0,3.13,5.2,5.03,1.48,1.44,10.7
1793,DEN,2019-10-06,1,Sun,5,5,@,LAC,W 20-13,14,20,6,70.0,159,1,1,5.0,5.0,94.2,3,23,13.04,8.0,6.91,6.70,5.83,11.4
1794,BAL,2019-10-06,1,Sun,5,5,@,PIT,W 26-23 (OT),19,28,9,67.9,139,1,3,3.6,10.7,54.9,5,22,15.15,5.0,4.21,0.86,0.73,7.3
1795,LAR,2019-10-03,1,Thu,5,5,@,SEA,L 29-30,29,49,20,59.2,395,1,1,2.0,2.0,83.3,0,0,0.00,8.1,8.06,7.55,7.55,13.6
1796,SEA,2019-09-29,1,Sun,4,4,@,ARI,W 27-10,22,28,6,78.6,225,1,0,3.6,0.0,114.3,4,15,12.50,8.0,7.03,8.75,7.66,10.2
1797,CLE,2019-09-29,1,Sun,4,4,@,BAL,W 40-25,20,31,11,64.5,337,1,1,3.2,3.2,99.1,1,5,3.13,10.9,10.53,10.06,9.75,16.9
1798,CIN,2019-09-22,1,Sun,3,3,@,BUF,L 17-21,20,36,16,55.6,240,1,2,2.8,5.6,63.4,2,10,5.26,6.7,6.32,4.72,4.47,12.0
1799,DET,2019-09-22,1,Sun,3,3,@,PHI,W 27-24,18,32,14,56.3,201,1,0,3.1,0.0,85.5,0,0,0.00,6.3,6.28,6.91,6.91,11.2
1800,CLE,2019-09-16,1,Mon,2,2,@,NYJ,W 23-3,19,35,16,54.3,305,1,1,2.9,2.9,83.6,3,20,7.89,8.7,8.03,8.00,7.37,16.1
1801,BUF,2019-09-15,1,Sun,2,2,@,NYG,W 28-14,19,30,11,63.3,237,1,0,3.3,0.0,101.1,3,16,9.09,7.9,7.18,8.57,7.79,12.5
1802,JAX,2019-09-15,1,Sun,2,2,@,HOU,L 12-13,23,33,10,69.7,178,1,0,3.0,0.0,97.2,4,35,10.81,5.4,4.81,6.00,5.35,7.7
1803,MIN,2019-09-15,1,Sun,2,2,@,GNB,L 16-21,14,32,18,43.8,223,1,2,3.1,6.3,52.9,1,7,3.03,7.0,6.76,4.78,4.64,15.9
1804,PHI,2019-09-15,1,Sun,2,2,@,ATL,L 20-24,28,48,20,58.3,237,1,2,2.1,4.2,62.4,3,18,5.88,4.9,4.65,3.48,3.27,8.5
1805,TAM,2019-09-12,1,Thu,2,2,@,CAR,W 20-14,16,25,9,64.0,189,1,0,4.0,0.0,103.4,3,19,10.71,7.6,6.75,8.36,7.46,11.8
1806,DEN,2019-09-09,1,Mon,1,1,@,OAK,L 16-24,21,31,10,67.7,249,1,0,3.2,0.0,105.3,3,19,8.82,8.0,7.32,8.68,7.91,11.9
1807,BUF,2019-09-08,1,Sun,1,1,@,NYJ,W 17-16,24,37,13,64.9,242,1,2,2.7,5.4,71.2,1,12,2.63,6.5,6.37,4.65,4.53,10.1
1808,NYG,2019-09-08,1,Sun,1,1,@,DAL,L 17-35,33,48,15,68.8,319,1,0,2.1,0.0,94.4,1,4,2.04,6.6,6.51,7.06,6.92,9.7
1809,LAR,2019-09-08,1,Sun,1,1,@,CAR,W 30-27,23,39,16,59.0,183,1,1,2.6,2.6,69.0,1,3,2.50,4.7,4.58,4.05,3.95,8.0
1810,SFO,2019-09-08,1,Sun,1,1,@,TAM,W 31-17,18,27,9,66.7,158,1,1,3.7,3.7,80.2,1,8,3.57,5.9,5.64,4.93,4.75,8.8
1811,GNB,2019-09-05,1,Thu,1,1,@,CHI,W 10-3,18,30,12,60.0,166,1,0,3.3,0.0,91.4,5,37,14.29,5.5,4.74,6.20,5.31,9.2
1812,NWE,2019-01-20,1,Sun,2,20,@,KAN,W 37-31 (OT),30,46,16,65.2,348,1,2,2.2,4.3,77.1,0,0,0.00,7.6,7.57,6.04,6.04,11.6
1813,LAR,2019-01-20,1,Sun,2,20,@,NOR,W 26-23 (OT),26,41,15,63.4,301,1,1,2.4,2.4,84.3,1,8,2.38,7.3,7.17,6.73,6.57,11.6
1814,PHI,2019-01-13,1,Sun,2,19,@,NOR,L 14-20,18,31,13,58.1,201,1,2,3.2,6.5,61.4,0,0,0.00,6.5,6.48,4.23,4.23,11.2
1815,IND,2019-01-12,1,Sat,2,19,@,KAN,L 13-31,19,36,17,52.8,179,1,0,2.8,0.0,78.8,3,24,7.69,5.0,4.59,5.53,5.10,9.4
1816,DAL,2019-01-12,1,Sat,2,19,@,LAR,L 22-30,20,32,12,62.5,258,1,0,3.1,0.0,99.2,1,8,3.03,8.1,7.82,8.69,8.42,12.9
1817,SEA,2019-01-05,1,Sat,1,18,@,DAL,L 22-24,18,27,9,66.7,226,1,0,3.7,0.0,105.9,1,7,3.57,8.4,8.07,9.11,8.79,12.6
1818,ARI,2018-12-30,1,Sun,16,17,@,SEA,L 24-27,18,34,16,52.9,113,1,0,2.9,0.0,74.3,6,36,15.00,3.3,2.83,3.91,3.33,6.3
1819,MIA,2018-12-30,1,Sun,16,17,@,BUF,L 17-42,19,32,13,59.4,126,1,2,3.1,6.3,55.5,4,24,11.11,3.9,3.50,1.75,1.56,6.6
1820,LAC,2018-12-30,1,Sun,16,17,@,DEN,W 23-9,14,24,10,58.3,160,1,2,4.2,8.3,60.4,1,16,4.00,6.7,6.40,3.75,3.60,11.4
1821,BUF,2018-12-23,1,Sun,15,16,@,NWE,L 12-24,20,41,21,48.8,217,1,2,2.4,4.9,52.6,0,0,0.00,5.3,5.29,3.59,3.59,10.9
1822,CHI,2018-12-23,1,Sun,15,16,@,SFO,W 14-9,25,29,4,86.2,235,1,0,3.4,0.0,113.5,3,11,9.38,8.1,7.34,8.79,7.97,9.4
1823,NYG,2018-12-23,1,Sun,15,16,@,IND,L 27-28,25,33,8,75.8,309,1,1,3.0,3.0,101.7,0,0,0.00,9.4,9.36,8.61,8.61,12.4
1824,LAR,2018-12-23,1,Sun,15,16,@,ARI,W 31-9,19,24,5,79.2,192,1,0,4.2,0.0,118.1,2,24,7.69,8.0,7.38,8.83,8.15,10.1
1825,TAM,2018-12-23,1,Sun,15,16,@,DAL,L 20-27,34,48,14,70.8,320,1,0,2.1,0.0,97.2,3,16,5.88,6.7,6.27,7.08,6.67,9.4
1826,BAL,2018-12-22,1,Sat,15,16,@,LAC,W 22-10,12,22,10,54.5,202,1,0,4.5,0.0,101.3,3,2,12.00,9.2,8.08,10.09,8.88,16.8
1827,WAS,2018-12-22,1,Sat,15,16,@,TEN,L 16-25,13,23,10,56.5,131,1,2,4.3,8.7,55.2,2,22,8.00,5.7,5.24,2.65,2.44,10.1
1828,ARI,2018-12-16,1,Sun,14,15,@,ATL,L 14-40,23,36,13,63.9,193,1,2,2.8,5.6,69.6,7,50,16.28,5.4,4.49,3.42,2.86,8.4
1829,DET,2018-12-16,1,Sun,14,15,@,BUF,L 13-14,22,29,7,75.9,208,1,0,3.4,0.0,106.7,0,0,0.00,7.2,7.17,7.86,7.86,9.5
1830,NWE,2018-12-16,1,Sun,14,15,@,PIT,L 10-17,25,36,11,69.4,272,1,1,2.8,2.8,89.9,1,7,2.70,7.6,7.35,6.86,6.68,10.9
1831,OAK,2018-12-16,1,Sun,14,15,@,CIN,L 16-30,21,38,17,55.3,229,1,0,2.6,0.0,85.7,5,34,11.63,6.0,5.33,6.55,5.79,10.9
1832,WAS,2018-12-16,1,Sun,14,15,@,JAX,W 16-13,16,25,9,64.0,136,1,0,4.0,0.0,93.9,3,15,10.71,5.4,4.86,6.24,5.57,8.5
1833,MIN,2018-12-10,1,Mon,13,14,@,SEA,L 7-21,20,33,13,60.6,199,1,0,3.0,0.0,89.0,2,9,5.71,6.0,5.69,6.64,6.26,10.0
1834,CIN,2018-12-09,1,Sun,13,14,@,LAC,L 21-26,18,27,9,66.7,151,1,0,3.7,0.0,96.2,3,19,10.00,5.6,5.03,6.33,5.70,8.4
1835,DEN,2018-12-09,1,Sun,13,14,@,SFO,L 14-20,24,42,18,57.1,171,1,0,2.4,0.0,76.1,2,15,4.55,4.1,3.89,4.55,4.34,7.1
1836,NOR,2018-12-09,1,Sun,13,14,@,TAM,W 28-14,24,31,7,77.4,198,1,1,3.2,3.2,90.9,1,3,3.13,6.4,6.19,5.58,5.41,8.3
1837,NYJ,2018-12-09,1,Sun,13,14,@,BUF,W 27-23,16,25,9,64.0,170,1,1,4.0,4.0,80.4,0,0,0.00,6.8,6.80,5.80,5.80,10.6
1838,JAX,2018-12-06,1,Thu,13,14,@,TEN,L 9-30,25,43,18,58.1,195,1,0,2.3,0.0,81.5,4,45,8.51,4.5,4.15,5.00,4.57,7.8
1839,CLE,2018-12-02,1,Sun,12,13,@,HOU,L 13-29,29,43,14,67.4,397,1,3,2.3,7.0,75.4,0,0,0.00,9.2,9.23,6.56,6.56,13.7
1840,DEN,2018-12-02,1,Sun,12,13,@,CIN,W 24-10,12,21,9,57.1,143,1,0,4.8,0.0,95.5,2,8,8.70,6.8,6.22,7.76,7.09,11.9
1841,MIN,2018-12-02,1,Sun,12,13,@,NWE,L 10-24,32,44,12,72.7,183,1,2,2.3,4.5,70.4,2,18,4.35,4.2,3.98,2.57,2.46,5.7
1842,LAR,2018-12-02,1,Sun,12,13,@,DET,W 30-16,17,33,16,51.5,195,1,1,3.0,3.0,68.6,2,12,5.71,5.9,5.57,5.15,4.86,11.5
1843,NOR,2018-11-29,1,Thu,12,13,@,DAL,L 10-13,18,28,10,64.3,111,1,1,3.6,3.6,71.6,2,16,6.67,4.0,3.70,3.07,2.87,6.2
1844,ARI,2018-11-25,1,Sun,11,12,@,LAC,L 10-45,12,19,7,63.2,87,1,1,5.3,5.3,73.4,2,18,9.52,4.6,4.14,3.26,2.95,7.3
1845,GNB,2018-11-25,1,Sun,11,12,@,MIN,L 17-24,17,28,11,60.7,172,1,0,3.6,0.0,94.0,4,26,12.50,6.1,5.38,6.86,6.00,10.1
1846,JAX,2018-11-25,1,Sun,11,12,@,BUF,L 21-24,12,23,11,52.2,107,1,2,4.3,8.7,46.8,3,20,11.54,4.7,4.12,1.61,1.42,8.9
1847,NYG,2018-11-25,1,Sun,11,12,@,PHI,L 22-25,26,37,11,70.3,276,1,1,2.7,2.7,91.8,2,21,5.13,7.5,7.08,6.78,6.44,10.6
1848,OAK,2018-11-25,1,Sun,11,12,@,BAL,L 17-34,16,34,18,47.1,182,1,0,2.9,0.0,74.9,3,12,8.11,5.4,4.92,5.94,5.46,11.4
1849,SFO,2018-11-25,1,Sun,11,12,@,TAM,L 9-27,18,32,14,56.3,194,1,2,3.1,6.3,62.1,4,27,11.11,6.1,5.39,3.88,3.44,10.8
1850,HOU,2018-11-18,1,Sun,10,11,@,WAS,W 23-21,16,24,8,66.7,181,1,2,4.2,8.3,72.9,3,27,11.11,7.5,6.70,4.63,4.11,11.3
1851,TEN,2018-11-18,1,Sun,10,11,@,IND,L 10-38,21,29,8,72.4,176,1,2,3.4,6.9,74.4,5,27,14.71,6.1,5.18,3.66,3.12,8.4
1852,ARI,2018-11-11,1,Sun,9,10,@,KAN,L 14-26,22,39,17,56.4,166,1,2,2.6,5.1,58.5,5,42,11.36,4.3,3.77,2.46,2.18,7.5
1853,DAL,2018-11-11,1,Sun,9,10,@,PHI,W 27-20,26,36,10,72.2,239,1,0,2.8,0.0,102.8,4,31,10.00,6.6,5.98,7.19,6.48,9.2
1854,WAS,2018-11-11,1,Sun,9,10,@,TAM,W 16-3,19,27,8,70.4,170,1,0,3.7,0.0,100.5,3,8,10.00,6.3,5.67,7.04,6.33,8.9
1855,CHI,2018-11-04,1,Sun,8,9,@,BUF,W 41-9,12,20,8,60.0,126,1,1,5.0,5.0,76.0,1,9,4.76,6.3,6.00,5.05,4.81,10.5
1856,GNB,2018-10-28,1,Sun,7,8,@,LAR,L 27-29,18,30,12,60.0,253,1,0,3.3,0.0,102.9,3,33,9.09,8.4,7.67,9.10,8.27,14.1
1857,NOR,2018-10-28,1,Sun,7,8,@,MIN,W 30-20,19,24,5,79.2,164,1,1,4.2,4.2,91.7,0,0,0.00,6.8,6.83,5.79,5.79,8.6
1858,NYJ,2018-10-28,1,Sun,8,8,@,CHI,L 10-24,14,29,15,48.3,150,1,0,3.4,0.0,75.8,1,3,3.33,5.2,5.00,5.86,5.67,10.7
1859,SFO,2018-10-28,1,Sun,8,8,@,ARI,L 15-18,14,28,14,50.0,160,1,0,3.6,0.0,83.9,4,30,12.50,5.7,5.00,6.43,5.63,11.4
1860,WAS,2018-10-28,1,Sun,7,8,@,NYG,W 20-13,20,32,12,62.5,178,1,0,3.1,0.0,87.8,0,0,0.00,5.6,5.56,6.19,6.19,8.9
1861,MIA,2018-10-25,1,Thu,8,8,@,HOU,L 23-42,22,38,16,57.9,254,1,1,2.6,2.6,77.6,2,15,5.00,6.7,6.35,6.03,5.73,11.5
1862,NYG,2018-10-22,1,Mon,7,7,@,ATL,L 20-23,27,38,11,71.1,372,1,0,2.6,0.0,113.8,4,27,9.52,9.8,8.86,10.32,9.33,13.8
1863,CIN,2018-10-21,1,Sun,7,7,@,KAN,L 10-45,19,33,14,57.6,174,1,1,3.0,3.0,71.1,2,13,5.71,5.3,4.97,4.52,4.26,9.2
1864,DAL,2018-10-21,1,Sun,7,7,@,WAS,L 17-20,22,35,13,62.9,250,1,0,2.9,0.0,96.5,4,23,10.26,7.1,6.41,7.71,6.92,11.4
1865,HOU,2018-10-21,1,Sun,7,7,@,JAX,W 20-7,12,24,12,50.0,131,1,0,4.2,0.0,81.8,1,8,4.00,5.5,5.24,6.29,6.04,10.9
1866,TEN,2018-10-21,1,Sun,7,7,@,LAC,L 19-20,24,32,8,75.0,226,1,1,3.1,3.1,92.8,2,11,5.88,7.1,6.65,6.28,5.91,9.4
1867,BUF,2018-10-14,1,Sun,6,6,@,HOU,L 13-20,16,29,13,55.2,129,1,2,3.4,6.9,51.7,2,16,6.45,4.4,4.16,2.03,1.90,8.1
1868,JAX,2018-10-14,1,Sun,6,6,@,DAL,L 7-40,15,26,11,57.7,139,1,1,3.8,3.8,70.8,3,10,10.34,5.3,4.79,4.38,3.93,9.3
1869,PIT,2018-10-14,1,Sun,6,6,@,CIN,W 28-21,32,46,14,69.6,369,1,0,2.2,0.0,100.7,0,0,0.00,8.0,8.02,8.46,8.46,11.5
1870,BAL,2018-10-14,1,Sun,6,6,@,TEN,W 21-0,25,37,12,67.6,238,1,1,2.7,2.7,82.9,0,0,0.00,6.4,6.43,5.76,5.76,9.5
1871,ATL,2018-10-07,1,Sun,5,5,@,PIT,L 17-41,31,45,14,68.9,262,1,0,2.2,0.0,95.1,6,43,11.76,5.8,5.14,6.27,5.53,8.5
1872,ARI,2018-10-07,1,Sun,5,5,@,SFO,W 28-18,10,25,15,40.0,164,1,0,4.0,0.0,77.1,1,6,3.85,6.6,6.31,7.36,7.08,16.4
1873,DAL,2018-10-07,1,Sun,5,5,@,HOU,L 16-19 (OT),18,29,11,62.1,194,1,2,3.4,6.9,66.5,2,14,6.45,6.7,6.26,4.28,4.00,10.8
1874,JAX,2018-10-07,1,Sun,5,5,@,KAN,L 14-30,33,61,28,54.1,401,1,4,1.6,6.6,54.7,5,29,7.58,6.6,6.08,3.95,3.65,12.2
1875,MIA,2018-10-07,1,Sun,5,5,@,CIN,L 17-27,20,35,15,57.1,169,1,2,2.9,5.7,57.4,3,16,7.89,4.8,4.45,2.83,2.61,8.5
1876,MIN,2018-10-07,1,Sun,5,5,@,PHI,W 23-21,30,37,7,81.1,298,1,0,2.7,0.0,109.6,1,3,2.63,8.1,7.84,8.59,8.37,9.9
1877,OAK,2018-10-07,1,Sun,5,5,@,LAC,L 10-26,24,33,9,72.7,248,1,1,3.0,3.0,94.0,3,20,8.33,7.5,6.89,6.76,6.19,10.3
1878,LAR,2018-10-07,1,Sun,5,5,@,SEA,W 33-31,23,32,9,71.9,313,1,2,3.1,6.3,88.2,1,8,3.03,9.8,9.48,7.59,7.36,13.6
1879,KAN,2018-10-01,1,Mon,4,4,@,DEN,W 27-23,28,45,17,62.2,304,1,0,2.2,0.0,89.5,1,0,2.17,6.8,6.61,7.20,7.04,10.9
1880,MIA,2018-09-30,1,Sun,4,4,@,NWE,L 7-38,15,25,10,60.0,116,1,1,4.0,4.0,71.2,2,19,7.41,4.6,4.30,3.64,3.37,7.7
1881,NYJ,2018-09-30,1,Sun,4,4,@,JAX,L 12-31,17,34,17,50.0,144,1,0,2.9,0.0,74.0,3,23,8.11,4.2,3.89,4.82,4.43,8.5
1882,TAM,2018-09-30,1,Sun,4,4,@,CHI,L 10-48,25,38,13,65.8,251,1,3,2.6,7.9,62.5,4,20,9.52,6.6,5.98,3.58,3.24,10.0
1883,BUF,2018-09-23,1,Sun,3,3,@,MIN,W 27-6,15,22,7,68.2,164,1,0,4.5,0.0,111.2,3,32,12.00,7.5,6.56,8.36,7.36,10.9
1884,IND,2018-09-23,1,Sun,3,3,@,PHI,L 16-20,25,41,16,61.0,141,1,0,2.4,0.0,77.7,2,23,4.65,3.4,3.28,3.93,3.74,5.6
1885,DAL,2018-09-23,1,Sun,3,3,@,SEA,L 13-24,19,34,15,55.9,137,1,2,2.9,5.9,54.5,5,31,12.82,4.0,3.51,1.97,1.72,7.2
1886,NWE,2018-09-23,1,Sun,3,3,@,DET,L 10-26,14,26,12,53.8,120,1,1,3.8,3.8,65.1,2,13,7.14,4.6,4.29,3.65,3.39,8.6
1887,OAK,2018-09-23,1,Sun,3,3,@,MIA,L 20-28,27,39,12,69.2,325,1,2,2.6,5.1,83.8,3,20,7.14,8.3,7.74,6.54,6.07,12.0
1888,CLE,2018-09-16,1,Sun,2,2,@,NOR,L 18-21,22,30,8,73.3,234,1,1,3.3,3.3,94.6,3,12,9.09,7.8,7.09,6.97,6.33,10.6
1889,NYG,2018-09-16,1,Sun,2,2,@,DAL,L 13-20,33,44,11,75.0,220,1,0,2.3,0.0,98.6,6,59,12.00,5.0,4.40,5.45,4.80,6.7
1890,PHI,2018-09-16,1,Sun,2,2,@,TAM,L 21-27,35,48,13,72.9,321,1,0,2.1,0.0,98.8,3,13,5.88,6.7,6.29,7.10,6.69,9.2
1891,OAK,2018-09-16,1,Sun,2,2,@,DEN,L 19-20,29,32,3,90.6,281,1,0,3.1,0.0,114.6,1,7,3.03,8.8,8.52,9.41,9.12,9.7
1892,HOU,2018-09-09,1,Sun,1,1,@,NWE,L 20-27,17,34,17,50.0,158,1,1,2.9,2.9,62.9,3,18,8.11,4.6,4.27,3.91,3.59,9.3
1893,JAX,2018-09-09,1,Sun,1,1,@,NYG,W 20-15,18,33,15,54.5,168,1,1,3.0,3.0,67.2,1,8,2.94,5.1,4.94,4.33,4.21,9.3
1894,PIT,2018-09-09,1,Sun,1,1,@,CLE,T 21-21 (OT),23,41,18,56.1,313,1,3,2.4,7.3,60.5,4,22,8.89,7.6,6.96,4.83,4.40,13.6
1895,SFO,2018-09-09,1,Sun,1,1,@,MIN,L 16-24,15,33,18,45.5,237,1,3,3.0,9.1,45.1,3,24,8.33,7.2,6.58,3.70,3.39,15.8
1896,JAX,2018-01-21,1,Sun,3,20,@,NWE,L 20-24,23,36,13,63.9,273,1,0,2.8,0.0,98.5,3,20,7.69,7.6,7.00,8.14,7.51,11.9
1897,MIN,2018-01-21,1,Sun,2,20,@,PHI,L 7-38,28,48,20,58.3,263,1,2,2.1,4.2,63.8,1,8,2.04,5.5,5.37,4.02,3.94,9.4
1898,JAX,2018-01-14,1,Sun,2,19,@,PIT,W 45-42,14,26,12,53.8,214,1,0,3.8,0.0,94.1,0,0,0.00,8.2,8.23,9.00,9.00,15.3
1899,ATL,2018-01-13,1,Sat,2,19,@,PHI,L 10-15,22,36,14,61.1,195,1,0,2.8,0.0,86.6,3,15,7.69,5.4,5.00,5.97,5.51,8.9
1900,ATL,2018-01-06,1,Sat,1,18,@,LAR,W 26-13,21,30,9,70.0,198,1,0,3.3,0.0,101.8,3,20,9.09,6.6,6.00,7.27,6.61,9.4
1901,BUF,2017-12-31,1,Sun,16,17,@,MIA,W 22-16,19,27,8,70.4,186,1,0,3.7,0.0,104.6,4,18,12.90,6.9,6.00,7.63,6.65,9.8
1902,CAR,2017-12-31,1,Sun,16,17,@,ATL,L 10-22,14,34,20,41.2,161,1,3,2.9,8.8,31.5,2,19,5.56,4.7,4.47,1.35,1.28,11.5
1903,ARI,2017-12-31,1,Sun,16,17,@,SEA,W 26-24,15,34,19,44.1,143,1,1,2.9,2.9,54.2,1,2,2.86,4.2,4.09,3.47,3.37,9.5
1904,DAL,2017-12-31,1,Sun,16,17,@,PHI,W 6-0,17,30,13,56.7,172,1,0,3.3,0.0,85.3,1,7,3.23,5.7,5.55,6.40,6.19,10.1
1905,GNB,2017-12-31,1,Sun,16,17,@,DET,L 11-35,20,32,12,62.5,153,1,2,3.1,6.3,63.7,4,40,11.11,4.8,4.25,2.59,2.31,7.7
1906,NOR,2017-12-31,1,Sun,16,17,@,TAM,L 24-31,22,30,8,73.3,231,1,0,3.3,0.0,108.3,2,14,6.25,7.7,7.22,8.37,7.84,10.5
1907,OAK,2017-12-31,1,Sun,16,17,@,LAC,L 10-30,19,28,9,67.9,231,1,1,3.6,3.6,91.8,2,12,6.67,8.3,7.70,7.36,6.87,12.2
1908,OAK,2017-12-25,1,Mon,15,16,@,PHI,L 10-19,15,29,14,51.7,137,1,2,3.4,6.9,48.1,1,3,3.33,4.7,4.57,2.31,2.23,9.1
1909,ATL,2017-12-24,1,Sun,15,16,@,NOR,L 13-23,22,36,14,61.1,264,1,1,2.8,2.8,84.0,5,24,12.20,7.3,6.44,6.64,5.83,12.0
1910,DET,2017-12-24,1,Sun,15,16,@,CIN,L 17-26,19,35,16,54.3,189,1,1,2.9,2.9,69.1,2,14,5.41,5.4,5.11,4.69,4.43,9.9
1911,MIA,2017-12-24,1,Sun,15,16,@,KAN,L 13-29,19,38,19,50.0,286,1,0,2.6,0.0,83.9,0,0,0.00,7.5,7.53,8.05,8.05,15.1
1912,LAC,2017-12-24,1,Sun,15,16,@,NYJ,W 14-7,22,40,18,55.0,290,1,0,2.5,0.0,86.5,0,0,0.00,7.3,7.25,7.75,7.75,13.2
1913,TAM,2017-12-24,1,Sun,15,16,@,CAR,L 19-22,21,27,6,77.8,326,1,0,3.7,0.0,131.1,6,41,18.18,12.1,9.88,12.81,10.48,15.5
1914,IND,2017-12-23,1,Sat,15,16,@,BAL,L 16-23,16,33,17,48.5,203,1,0,3.0,0.0,79.7,2,12,5.71,6.2,5.80,6.76,6.37,12.7
1915,MIN,2017-12-23,1,Sat,15,16,@,GNB,W 16-0,14,25,11,56.0,124,1,0,4.0,0.0,85.2,3,15,10.71,5.0,4.43,5.76,5.14,8.9
1916,ATL,2017-12-18,1,Mon,14,15,@,TAM,W 24-21,17,31,14,54.8,209,1,0,3.2,0.0,87.0,1,3,3.13,6.7,6.53,7.39,7.16,12.3
1917,HOU,2017-12-17,1,Sun,14,15,@,JAX,L 7-45,12,31,19,38.7,99,1,1,3.2,3.2,48.9,4,29,11.43,3.2,2.83,2.39,2.11,8.3
1918,NWE,2017-12-17,1,Sun,14,15,@,PIT,W 27-24,22,35,13,62.9,283,1,1,2.9,2.9,87.6,2,15,5.41,8.1,7.65,7.37,6.97,12.9
1919,NYJ,2017-12-17,1,Sun,14,15,@,NOR,L 19-31,19,39,20,48.7,170,1,2,2.6,5.1,49.0,1,9,2.50,4.4,4.25,2.56,2.50,8.9
1920,BAL,2017-12-17,1,Sun,14,15,@,CLE,W 27-10,26,42,16,61.9,279,1,0,2.4,0.0,90.2,1,9,2.33,6.6,6.49,7.12,6.95,10.7
1921,CHI,2017-12-16,1,Sat,14,15,@,DET,L 10-20,31,46,15,67.4,306,1,3,2.2,6.5,66.8,2,8,4.17,6.7,6.38,4.15,3.98,9.9
1922,LAC,2017-12-16,1,Sat,14,15,@,KAN,L 13-30,20,36,16,55.6,209,1,3,2.8,8.3,49.2,2,18,5.26,5.8,5.50,2.61,2.47,10.5
1923,NWE,2017-12-11,1,Mon,13,14,@,MIA,L 20-27,24,43,19,55.8,223,1,2,2.3,4.7,59.5,2,10,4.44,5.2,4.96,3.56,3.40,9.3
1924,CHI,2017-12-10,1,Sun,13,14,@,CIN,W 33-7,25,32,7,78.1,250,1,0,3.1,0.0,112.4,2,21,5.88,7.8,7.35,8.44,7.94,10.0
1925,IND,2017-12-10,1,Sun,13,14,@,BUF,L 7-13 (OT),11,22,11,50.0,64,1,0,4.5,0.0,72.0,1,5,4.35,2.9,2.78,3.82,3.65,5.8
1926,DET,2017-12-10,1,Sun,13,14,@,TAM,W 24-21,36,44,8,81.8,381,1,2,2.3,4.5,91.4,0,0,0.00,8.7,8.66,7.07,7.07,10.6
1927,OAK,2017-12-10,1,Sun,13,14,@,KAN,L 15-26,24,41,17,58.5,198,1,2,2.4,4.9,60.1,3,13,6.82,4.8,4.50,3.12,2.91,8.3
1928,SFO,2017-12-10,1,Sun,13,14,@,HOU,W 26-16,20,33,13,60.6,314,1,1,3.0,3.0,92.2,2,20,5.71,9.5,8.97,8.76,8.26,15.7
1929,WAS,2017-12-10,1,Sun,13,14,@,LAC,L 13-30,15,27,12,55.6,136,1,1,3.7,3.7,68.6,2,15,6.90,5.0,4.69,4.11,3.83,9.1
1930,CLE,2017-12-03,1,Sun,12,13,@,LAC,L 10-19,15,32,17,46.9,202,1,1,3.1,3.1,66.5,3,13,8.57,6.3,5.77,5.53,5.06,13.5
1931,IND,2017-12-03,1,Sun,12,13,@,JAX,L 10-30,21,36,15,58.3,149,1,2,2.8,5.6,56.9,4,25,10.00,4.1,3.73,2.19,1.98,7.1
1932,DET,2017-12-03,1,Sun,12,13,@,BAL,L 20-44,27,34,7,79.4,294,1,2,2.9,5.9,90.7,3,22,8.11,8.6,7.95,6.59,6.05,10.9
1933,HOU,2017-12-03,1,Sun,12,13,@,TEN,L 13-24,31,49,18,63.3,331,1,1,2.0,2.0,84.1,4,34,7.55,6.8,6.25,6.24,5.77,10.7
1934,NYG,2017-12-03,1,Sun,12,13,@,OAK,L 17-24,21,34,13,61.8,200,1,0,2.9,0.0,89.3,3,12,8.11,5.9,5.41,6.47,5.95,9.5
1935,PHI,2017-12-03,1,Sun,12,13,@,SEA,L 10-24,29,45,16,64.4,327,1,1,2.2,2.2,86.2,3,21,6.25,7.3,6.81,6.71,6.29,11.3
